year,proportion,ngram
1920,0.0,Zipf 's law
1921,0.0,Zipf 's law
1922,0.0,Zipf 's law
1923,0.0,Zipf 's law
1924,0.0,Zipf 's law
1925,0.0,Zipf 's law
1926,0.0,Zipf 's law
1927,0.0,Zipf 's law
1928,0.0,Zipf 's law
1929,1.604607557936788e-10,Zipf 's law
1930,0.0,Zipf 's law
1931,0.0,Zipf 's law
1932,0.0,Zipf 's law
1933,0.0,Zipf 's law
1934,3.672621373684848e-10,Zipf 's law
1935,0.0,Zipf 's law
1936,0.0,Zipf 's law
1937,1.57275109602395e-10,Zipf 's law
1938,0.0,Zipf 's law
1939,0.0,Zipf 's law
1940,0.0,Zipf 's law
1941,0.0,Zipf 's law
1942,6.970327093291928e-10,Zipf 's law
1943,0.0,Zipf 's law
1944,0.0,Zipf 's law
1945,3.4871264209535013e-10,Zipf 's law
1946,0.0,Zipf 's law
1947,2.655985154031981e-10,Zipf 's law
1948,5.255437751650049e-10,Zipf 's law
1949,0.0,Zipf 's law
1950,0.0,Zipf 's law
1951,0.0,Zipf 's law
1952,4.761726013491341e-10,Zipf 's law
1953,2.3687962702467757e-09,Zipf 's law
1954,3.5911542628497273e-09,Zipf 's law
1955,4.391505492584713e-10,Zipf 's law
1956,2.8554409947645354e-09,Zipf 's law
1957,3.4547973370990803e-09,Zipf 's law
1958,1.623356116198238e-09,Zipf 's law
1959,1.2255886305823083e-09,Zipf 's law
1960,5.5307767254930695e-09,Zipf 's law
1961,9.49764267232922e-09,Zipf 's law
1962,2.2926696097158583e-09,Zipf 's law
1963,8.671458218145744e-09,Zipf 's law
1964,2.99398128511541e-09,Zipf 's law
1965,2.499430218350085e-09,Zipf 's law
1966,3.743657828181313e-09,Zipf 's law
1967,3.840143314448596e-09,Zipf 's law
1968,7.528079493113182e-09,Zipf 's law
1969,4.431707889551717e-09,Zipf 's law
1970,5.757886167856441e-09,Zipf 's law
1971,4.029726330401218e-09,Zipf 's law
1972,6.28382013090345e-09,Zipf 's law
1973,3.990126451469678e-09,Zipf 's law
1974,2.694220846422013e-09,Zipf 's law
1975,9.556294422452538e-09,Zipf 's law
1976,2.4267043929881993e-09,Zipf 's law
1977,1.0722114751615663e-08,Zipf 's law
1978,4.711619094877051e-09,Zipf 's law
1979,4.500401828977374e-09,Zipf 's law
1980,5.449932949375125e-09,Zipf 's law
